NCES ID,State,School District (Portal Name),acfrs_original_name,Year,Net Pension Liability,Net Pension Asset,NPL less NPA,States Proportionate Share of Net Pension liability,Overall Liability (Asset) Associated with District Staff,Comments,Employer name in GASB 68/ACFR,
4202550,PA,Apollo Ridge School District,Apollo Ridge School District,2020,"31,578,000",,"31,578,000",,"31,578,000",,,
4808490,TX,Apple Springs Independent School District,Apple Springs Independent School District,2020,"517,437",,"517,437","1,045,439","1,562,876",,,
600017,CA,Apple Valley Unified School District,Apple Valley Unified School District,2020,"157,585,847",,"157,585,847","57,047,835","214,633,682",,,
5500390,WI,Appleton Area School District,Appleton Area School District,2020,,"20,153,737","-20,153,737",,"-20,153,737",,,
1300060,GA,Appling County Board of Education,Appling County Board Of Education,2020,"35,815,549",,"35,815,549","713,007","36,528,556",,,
4808520,TX,Aquilla Independent School District,Aquilla Independent School District,2020,"848,217",,"848,217","1,487,143","2,335,360",,,
1903780,IA,Ar-We-Va Community School District,Ar-We-Va Community School District,2020,"1,263,967",,"1,263,967",,"1,263,967",,,
100100,AL,Arab City Board of Education,Arab City Board Of Education,2020,"21,255,000",,"21,255,000",,"21,255,000",,,
4808550,TX,Aransas County Independent School District,Aransas County Independent School District,2020,"7,787,398",,"7,787,398","14,311,819","22,099,217",,,
4808580,TX,Aransas Pass Independent School District,Aransas Pass Independent School District,2020,"4,898,513",,"4,898,513","8,093,873","12,992,386",,,
3103090,NE,Arapahoe Public Schools District No. 18,Arapahoe Public Schools District No. 18,2020,,,0,,0,,,
1703930,IL,Arbor Park School District No. 145,Arbor Park School District No. 145,2020,"1,862,245",,"1,862,245","50,235,296","52,097,541",,,
3103120,NE,Arcadia School District No. 21,Arcadia School District No. 21,2020,"710,285",,"710,285",,"710,285",,,
5500420,WI,Arcadia School District,Arcadia School District,2020,,"1,720,124","-1,720,124",,"-1,720,124",,,
602970,CA,Arcadia Unified School District,Arcadia Unified School District,2020,"118,217,534",,"118,217,534","48,066,343","166,283,877",,,
2903150,MO,Arcadia Valley R-II School District,Arcadia Valley R-Ii School District,2020,"8,961,215",,"8,961,215",,"8,961,215",,,
3904663,OH,Arcanum Butler Local School District,Arcanum Butler Local School District,2020,"11,967,708",,"11,967,708",,"11,967,708",,,
603000,CA,Arcata Elementary School District,Arcata Elementary School District,2020,"12,290,560",,"12,290,560",,"12,290,560",,,
